Shipment_ID,Origin,Destination,Transport_Mode,Cargo_Type,Weight_KG,Volume_CBM,Distance_KM,Container_Type,Fuel_Price,Season,Carrier,Transit_Days,Actual_Freight_Price_INR
SHP00032,Hyderabad,Dubai,Sea,Furniture,18495,35.51,2815,40FT,102.85,Off_Peak,Carrier_B,10,122987
SHP00033,Ahmedabad,Singapore,Road,Machinery,8339,21.5,9126,40FT,102.61,Peak,Carrier_B,22,255941
SHP00034,Pune,Antwerp,Sea,Automotive Parts,21177,48.56,8734,40FT_HC,101.74,Peak,Carrier_C,20,317994
SHP00035,Delhi,London,Road,General Cargo,7425,21.92,6800,LCL,81.14,Peak,Carrier_E,17,92417
SHP00036,Chennai,Singapore,Road,Machinery,931,2.44,3215,40FT_HC,104.31,Off_Peak,Carrier_C,10,58773
SHP00037,Hyderabad,New York,Air,General Cargo,3202,14.49,6367,AIR_CARGO,89.27,Peak,Carrier_A,8,536451
SHP00038,Hyderabad,Jebel Ali,Air,Chemicals,3366,17.27,2694,AIR_CARGO,106.72,Peak,Carrier_B,5,446432
SHP00039,Mumbai,Rotterdam,Sea,Machinery,8139,18.18,10217,40FT_HC,90.22,Off_Peak,Carrier_A,24,144432
SHP00040,Bengaluru,Hamburg,Road,Automotive Parts,5676,17.08,11593,20FT,113.01,Off_Peak,Carrier_A,26,191033
SHP00041,Chennai,Antwerp,Air,Food Products,533,2.19,12175,AIR_CARGO,114.76,Peak,Carrier_C,13,812291
SHP00042,Hyderabad,London,Sea,General Cargo,19969,41.39,5384,40FT_HC,84.73,Normal,Carrier_C,15,185456
SHP00043,Mumbai,London,Road,Textiles,3402,12.3,9851,20FT,113.41,Peak,Carrier_E,24,183984
SHP00044,Bengaluru,Shanghai,Road,Chemicals,5644,19.95,5133,LCL,84.1,Normal,Carrier_E,13,76129
SHP00045,Cochin,Jebel Ali,Sea,General Cargo,16651,32.56,7799,20FT,95.34,Normal,Carrier_C,19,129551
SHP00046,Kolkata,New York,Road,Electronics,3761,14.53,14986,40FT_HC,100.66,Off_Peak,Carrier_B,34,309919
SHP00047,Bengaluru,Rotterdam,Sea,Textiles,2936,8.65,10785,LCL,83.72,Peak,Carrier_E,25,73693
SHP00048,Mumbai,Hamburg,Air,Chemicals,939,4.5,10585,AIR_CARGO,90.93,Peak,Carrier_D,12,719572
SHP00049,Mumbai,Singapore,Air,Pharmaceuticals,1039,5.62,4208,AIR_CARGO,99.77,Normal,Carrier_B,6,321528
SHP00050,Mumbai,Los Angeles,Air,Solar Panels,902,4.11,14418,AIR_CARGO,75.68,Normal,Carrier_E,15,610873
SHP00051,Cochin,Busan,Road,Automotive Parts,12784,39.89,3272,LCL,76.23,Off_Peak,Carrier_C,10,70932
SHP00052,Cochin,Dubai,Air,Chemicals,4386,23.25,5586,AIR_CARGO,85.86,Peak,Carrier_A,7,691888
SHP00053,Pune,Rotterdam,Air,Chemicals,3999,19.83,8562,AIR_CARGO,100.36,Normal,Carrier_C,10,726340
SHP00054,Ahmedabad,New York,Sea,Textiles,18125,40.78,5053,40FT_HC,83.26,Off_Peak,Carrier_C,15,150557
SHP00055,Delhi,Singapore,Sea,Machinery,14174,25.82,4169,40FT_HC,97.1,Off_Peak,Carrier_D,13,115365
SHP00056,Bengaluru,Busan,Air,Furniture,1936,7.88,9999,AIR_CARGO,104.84,Peak,Carrier_A,11,729790
SHP00057,Pune,New York,Road,Electronics,11576,33.77,13155,20FT,107.55,Normal,Carrier_D,30,274202
SHP00058,Bengaluru,Jebel Ali,Air,Solar Panels,1857,9.47,10608,AIR_CARGO,108.91,Peak,Carrier_C,12,851709
SHP00059,Pune,Colombo,Sea,Machinery,16370,38.82,7434,20FT,93.99,Peak,Carrier_C,19,155783
SHP00060,Bengaluru,Colombo,Road,Machinery,5843,20.61,8218,40FT_HC,99.24,Peak,Carrier_D,20,231586
SHP00061,Delhi,Busan,Road,Pharmaceuticals,7705,27.26,10702,40FT_HC,110.53,Off_Peak,Carrier_A,24,328144
SHP00062,Ahmedabad,Singapore,Sea,Furniture,16471,30.05,11510,40FT,111.01,Peak,Carrier_E,27,257878
SHP00063,Visakhapatnam,Los Angeles,Sea,Textiles,19477,42,12114,20FT,114.05,Off_Peak,Carrier_C,27,172271
SHP00064,Delhi,New York,Sea,Automotive Parts,3723,14.22,12297,LCL,84.34,Normal,Carrier_B,27,81874
SHP00065,Kolkata,Los Angeles,Road,Furniture,4981,17.07,6409,40FT_HC,90.21,Normal,Carrier_C,17,148136
SHP00066,Bengaluru,Rotterdam,Sea,Food Products,13088,27.6,11304,40FT_HC,89.73,Off_Peak,Carrier_D,26,173469
SHP00067,Hyderabad,Jebel Ali,Sea,Automotive Parts,13178,26.1,2762,20FT,90.29,Peak,Carrier_C,11,99511
SHP00068,Chennai,Los Angeles,Air,Automotive Parts,222,1.02,16502,AIR_CARGO,90.68,Off_Peak,Carrier_B,16,692610
SHP00069,Kolkata,Rotterdam,Sea,Textiles,11048,24.05,11435,40FT_HC,91.5,Off_Peak,Carrier_C,26,164193
SHP00070,Hyderabad,London,Road,General Cargo,10589,30.39,12276,40FT_HC,114.56,Off_Peak,Carrier_A,28,307483
SHP00071,Ahmedabad,London,Road,Electronics,8587,24.89,9240,40FT_HC,103.51,Off_Peak,Carrier_A,22,248869
SHP00072,Chennai,Shanghai,Road,Solar Panels,852,7.9,5422,40FT_HC,78,Off_Peak,Carrier_E,14,83629
SHP00073,Hyderabad,Shanghai,Air,Chemicals,3293,14.47,5359,AIR_CARGO,83.23,Normal,Carrier_A,7,467628
SHP00074,Mumbai,Los Angeles,Road,Machinery,3264,12.73,15066,20FT,99.4,Peak,Carrier_A,34,257472
SHP00075,Kolkata,Los Angeles,Air,Automotive Parts,1278,5.9,10083,AIR_CARGO,107.29,Off_Peak,Carrier_E,11,517279
SHP00076,Bengaluru,Jebel Ali,Air,Automotive Parts,1755,8.95,6226,AIR_CARGO,90.38,Normal,Carrier_E,8,367297
SHP00077,Hyderabad,Antwerp,Air,Pharmaceuticals,3377,13.98,5265,AIR_CARGO,85.63,Off_Peak,Carrier_D,7,417792
SHP00078,Bengaluru,Antwerp,Air,Electronics,1987,8.16,11487,AIR_CARGO,110.59,Peak,Carrier_B,13,945807
SHP00079,Visakhapatnam,Busan,Sea,Furniture,26236,58.83,4653,40FT_HC,81.67,Normal,Carrier_B,13,218279
SHP00080,Cochin,London,Road,Food Products,12459,34.49,11558,40FT_HC,113.4,Normal,Carrier_A,27,348882
SHP00081,Chennai,Singapore,Sea,Machinery,6255,11.81,3339,40FT,75.42,Off_Peak,Carrier_E,11,52192
SHP00082,Delhi,Rotterdam,Air,Textiles,2100,10.47,7439,AIR_CARGO,103.88,Normal,Carrier_B,9,473582
SHP00083,Cochin,Singapore,Sea,Electronics,23407,43.08,6053,40FT_HC,89.53,Off_Peak,Carrier_C,15,209629
SHP00084,Cochin,Colombo,Sea,Textiles,23503,52.06,6208,40FT_HC,88.95,Off_Peak,Carrier_D,15,196709
SHP00085,Mumbai,Hamburg,Sea,Pharmaceuticals,1397,7.42,10273,LCL,77.61,Peak,Carrier_E,23,78591
SHP00086,Hyderabad,Jebel Ali,Sea,Machinery,19370,37.92,2745,40FT,80.85,Peak,Carrier_C,9,167797
SHP00087,Hyderabad,Los Angeles,Air,Solar Panels,3390,15.71,15394,AIR_CARGO,93.82,Peak,Carrier_E,16,1099799
SHP00088,Visakhapatnam,Colombo,Sea,General Cargo,19754,44.92,7299,20FT,94,Off_Peak,Carrier_A,18,135053
SHP00089,Ahmedabad,London,Road,Automotive Parts,8280,24.68,10377,20FT,106.2,Off_Peak,Carrier_A,25,179247
SHP00090,Cochin,New York,Sea,Electronics,16475,37.08,10401,20FT,108.18,Off_Peak,Carrier_B,24,166083
SHP00091,Kolkata,Singapore,Air,Solar Panels,1127,6.07,2633,AIR_CARGO,107.73,Peak,Carrier_C,5,257133
SHP00092,Kolkata,Colombo,Air,Machinery,1416,6.01,2002,AIR_CARGO,114.35,Peak,Carrier_D,4,208717
SHP00093,Pune,Singapore,Sea,Food Products,15484,28.46,4542,20FT,81.31,Off_Peak,Carrier_A,14,87088
SHP00094,Kolkata,Colombo,Road,General Cargo,3761,15.42,1954,20FT,91.49,Normal,Carrier_E,7,44213
SHP00095,Cochin,Rotterdam,Road,General Cargo,13356,36.02,6440,20FT,89.15,Peak,Carrier_B,16,165250
SHP00096,Bengaluru,Dubai,Road,Electronics,5711,15.22,3200,40FT_HC,81.5,Peak,Carrier_A,10,128054
SHP00097,Delhi,Rotterdam,Road,Chemicals,7649,21.28,7190,40FT_HC,85.08,Normal,Carrier_C,18,204896
SHP00098,Hyderabad,Hamburg,Road,Textiles,9398,26.18,2978,40FT,75.39,Off_Peak,Carrier_E,9,88631
SHP00099,Bengaluru,New York,Air,Chemicals,1936,8.61,14139,AIR_CARGO,107.73,Off_Peak,Carrier_E,14,830301
SHP00100,Mumbai,Hamburg,Road,Furniture,3047,10.74,10162,40FT_HC,78.77,Off_Peak,Carrier_B,23,148267
SHP00101,Kolkata,Jebel Ali,Road,General Cargo,4338,12.48,8869,40FT,102.84,Off_Peak,Carrier_C,21,161881
SHP00102,Kolkata,Los Angeles,Air,Furniture,1140,5.21,6192,AIR_CARGO,90.38,Off_Peak,Carrier_C,8,282345
SHP00103,Pune,Busan,Sea,Electronics,22081,52.08,8273,40FT_HC,100.3,Normal,Carrier_D,20,286867
SHP00104,Ahmedabad,Rotterdam,Sea,Machinery,12357,26.43,9183,20FT,87.95,Normal,Carrier_B,22,117096
SHP00105,Cochin,London,Road,Automotive Parts,13267,36.83,11674,LCL,112.18,Normal,Carrier_B,27,188787
SHP00106,Chennai,London,Air,Electronics,325,1.53,11006,AIR_CARGO,114.49,Normal,Carrier_C,12,699893
SHP00107,Pune,Colombo,Sea,Automotive Parts,16066,38.43,3807,20FT,78.35,Normal,Carrier_C,13,109796
SHP00108,Kolkata,Busan,Air,Solar Panels,1147,4.64,4205,AIR_CARGO,80.22,Peak,Carrier_D,6,288278
SHP00109,Ahmedabad,Singapore,Sea,Electronics,4430,8.69,9259,LCL,101.48,Off_Peak,Carrier_E,21,65500
SHP00110,Mumbai,Rotterdam,Road,Solar Panels,2247,8.15,9538,LCL,103.1,Normal,Carrier_B,22,115155
SHP00111,Pune,Rotterdam,Sea,Solar Panels,5959,13.98,4515,LCL,80.87,Peak,Carrier_D,13,55800
SHP00112,Ahmedabad,Dubai,Road,Solar Panels,8383,22.18,1741,40FT_HC,109.2,Off_Peak,Carrier_E,6,90332
SHP00113,Delhi,Colombo,Sea,Textiles,13960,34.41,10558,40FT,110.24,Peak,Carrier_B,24,251366
SHP00114,Pune,Dubai,Air,Chemicals,3767,19.94,2023,AIR_CARGO,84.13,Normal,Carrier_D,4,326374
SHP00115,Chennai,Hamburg,Road,General Cargo,1784,7.16,11750,40FT_HC,88.76,Normal,Carrier_E,27,197502
SHP00116,Bengaluru,Shanghai,Sea,Automotive Parts,11420,29.15,6278,40FT_HC,89.5,Peak,Carrier_D,16,183321
SHP00117,Bengaluru,London,Air,Machinery,2043,9.51,10684,AIR_CARGO,104.93,Off_Peak,Carrier_B,12,547755
SHP00118,Visakhapatnam,Rotterdam,Road,Furniture,14246,38.02,7210,LCL,94.1,Peak,Carrier_D,17,143265
SHP00119,Ahmedabad,Busan,Air,Textiles,2777,11.37,6447,AIR_CARGO,91.37,Peak,Carrier_A,8,504766
SHP00120,Ahmedabad,Colombo,Road,General Cargo,9063,29.25,2000,40FT_HC,96.07,Normal,Carrier_C,8,109291
SHP00121,Ahmedabad,Antwerp,Sea,Automotive Parts,4949,19.73,8286,LCL,97.84,Peak,Carrier_D,21,90134
SHP00122,Delhi,Hamburg,Air,Machinery,2272,10.96,5578,AIR_CARGO,87.65,Peak,Carrier_C,8,405769
SHP00123,Pune,Colombo,Air,General Cargo,3798,16.26,6308,AIR_CARGO,90.94,Peak,Carrier_D,8,532372
SHP00124,Mumbai,Rotterdam,Road,Machinery,3395,10.77,9666,40FT_HC,93.93,Peak,Carrier_B,23,230035
SHP00125,Cochin,Singapore,Road,Automotive Parts,12712,31.86,10180,20FT,108.76,Off_Peak,Carrier_E,23,180093
SHP00126,Ahmedabad,Rotterdam,Road,Solar Panels,9078,25.26,9383,20FT,77.81,Off_Peak,Carrier_D,22,133879
SHP00127,Bengaluru,Rotterdam,Sea,Solar Panels,7463,16.91,11158,20FT,78.62,Peak,Carrier_A,25,144756
SHP00128,Chennai,Rotterdam,Sea,Electronics,5895,14.27,10688,40FT,101.41,Off_Peak,Carrier_C,25,152640
SHP00129,Delhi,Rotterdam,Road,Food Products,7404,20.66,7143,40FT,91.41,Normal,Carrier_D,17,160754
SHP00130,Visakhapatnam,Singapore,Air,Food Products,4651,25.78,5105,AIR_CARGO,84.08,Normal,Carrier_A,7,456601
SHP00131,Chennai,Singapore,Air,Electronics,209,1.16,3434,AIR_CARGO,100.59,Normal,Carrier_E,6,188139
SHP00132,Ahmedabad,Antwerp,Sea,Chemicals,17122,41.41,3597,40FT,78.28,Peak,Carrier_B,11,204903
SHP00133,Kolkata,Los Angeles,Road,Textiles,4207,14.94,3856,40FT_HC,79.04,Peak,Carrier_A,11,112572
SHP00134,Chennai,Los Angeles,Road,General Cargo,932,6.33,15135,40FT_HC,112.41,Peak,Carrier_D,34,387917
SHP00135,Kolkata,Antwerp,Road,Pharmaceuticals,4746,19.12,9316,LCL,105.21,Peak,Carrier_C,22,177395
SHP00136,Bengaluru,London,Air,Solar Panels,2080,9.82,10292,AIR_CARGO,85.14,Peak,Carrier_D,11,701013
SHP00137,Visakhapatnam,Antwerp,Road,General Cargo,14769,44.14,9175,40FT_HC,101.29,Normal,Carrier_E,22,266105
SHP00138,Visakhapatnam,Dubai,Sea,Furniture,7494,15.43,8325,LCL,98.48,Peak,Carrier_D,19,87856
SHP00139,Visakhapatnam,Hamburg,Air,Automotive Parts,4522,21.79,6409,AIR_CARGO,88.97,Normal,Carrier_C,8,539085
SHP00140,Pune,Los Angeles,Sea,Food Products,15824,35.21,11074,20FT,108.88,Off_Peak,Carrier_A,26,153321
SHP00141,Pune,Jebel Ali,Sea,Textiles,22772,44.11,8742,40FT,100.69,Off_Peak,Carrier_C,21,201546
SHP00142,Kolkata,Singapore,Road,Food Products,3940,10.3,2523,40FT_HC,99.36,Peak,Carrier_B,9,88397
SHP00143,Kolkata,New York,Road,Electronics,4158,15.35,15026,20FT,83.32,Normal,Carrier_D,33,206527
SHP00144,Chennai,Singapore,Road,General Cargo,1549,4.51,3319,20FT,95.65,Off_Peak,Carrier_E,10,40768
SHP00145,Kolkata,Shanghai,Sea,Solar Panels,2539,13.43,4803,LCL,91.83,Normal,Carrier_B,13,43359
SHP00146,Chennai,Los Angeles,Road,Solar Panels,934,6.89,16385,20FT,108.33,Peak,Carrier_D,36,310880
SHP00147,Hyderabad,Singapore,Air,Solar Panels,3258,17.73,3966,AIR_CARGO,110.02,Normal,Carrier_E,6,402063
SHP00148,Pune,Antwerp,Road,Automotive Parts,10744,34.14,5564,20FT,86.45,Peak,Carrier_D,15,153364
SHP00149,Hyderabad,Shanghai,Air,Solar Panels,3509,15.27,5181,AIR_CARGO,108.84,Off_Peak,Carrier_C,7,431871
SHP00150,Visakhapatnam,Rotterdam,Road,Automotive Parts,14439,38.43,8297,LCL,98.39,Normal,Carrier_A,20,148189
SHP00151,Ahmedabad,Los Angeles,Sea,Automotive Parts,4258,14.12,8001,LCL,97.16,Off_Peak,Carrier_C,20,58510
SHP00152,Visakhapatnam,Antwerp,Sea,Machinery,26194,57.95,7806,40FT_HC,97.29,Off_Peak,Carrier_A,19,241585
SHP00153,Kolkata,Dubai,Air,Food Products,1342,7.12,7212,AIR_CARGO,92.77,Off_Peak,Carrier_C,8,340358
SHP00154,Mumbai,Hamburg,Road,Electronics,2476,9.51,9852,40FT,101.55,Peak,Carrier_B,23,261624
SHP00155,Bengaluru,Singapore,Sea,Furniture,11602,21.54,3533,40FT_HC,101.28,Peak,Carrier_B,11,138079
SHP00156,Bengaluru,Rotterdam,Road,Automotive Parts,5778,16.95,11178,20FT,107.56,Off_Peak,Carrier_D,26,171415
SHP00157,Cochin,Busan,Road,Automotive Parts,12343,38.25,8107,LCL,97.79,Normal,Carrier_A,20,139312
SHP00158,Delhi,New York,Road,General Cargo,7568,24.21,11859,20FT,110.88,Off_Peak,Carrier_B,27,178312
SHP00159,Chennai,Antwerp,Sea,General Cargo,4600,19.3,9151,40FT_HC,101.8,Normal,Carrier_A,23,148972
SHP00160,Chennai,Busan,Sea,Solar Panels,5681,22.06,4236,40FT,81.03,Off_Peak,Carrier_B,13,79013
SHP00161,Ahmedabad,Antwerp,Sea,Automotive Parts,12025,32.58,4495,20FT,82.1,Peak,Carrier_C,14,115809
SHP00162,Kolkata,London,Sea,Machinery,6323,16.98,11004,20FT,92.36,Normal,Carrier_B,25,108897
SHP00163,Hyderabad,Busan,Air,Electronics,3513,14.25,10676,AIR_CARGO,109.41,Off_Peak,Carrier_E,12,701547
SHP00164,Delhi,Singapore,Road,Automotive Parts,6533,16.94,4215,40FT,93.89,Off_Peak,Carrier_C,12,103086
SHP00165,Kolkata,Antwerp,Sea,Chemicals,9635,27.71,6772,40FT_HC,93.23,Normal,Carrier_D,18,172615
SHP00166,Bengaluru,Shanghai,Sea,Solar Panels,7549,22.41,4535,20FT,81.34,Peak,Carrier_B,13,91372
SHP00167,Chennai,Singapore,Sea,Electronics,5470,10.1,3217,40FT_HC,80.94,Normal,Carrier_D,10,71411
SHP00168,Delhi,Shanghai,Sea,Electronics,4163,16.21,4816,LCL,110.69,Normal,Carrier_D,14,57498
SHP00169,Ahmedabad,Busan,Air,Machinery,2669,10.69,9672,AIR_CARGO,104.5,Peak,Carrier_D,11,721738
SHP00170,Ahmedabad,Antwerp,Road,Solar Panels,8149,27.43,8834,40FT_HC,100.75,Normal,Carrier_A,21,268964
SHP00171,Kolkata,Los Angeles,Road,General Cargo,4071,14.56,7787,20FT,97.45,Normal,Carrier_A,19,122282
SHP00172,Ahmedabad,London,Road,Pharmaceuticals,9129,26.75,10260,40FT_HC,108.95,Peak,Carrier_B,23,417095
SHP00173,Ahmedabad,Busan,Air,Electronics,2984,11.94,11214,AIR_CARGO,113.63,Peak,Carrier_C,12,1019305
SHP00174,Ahmedabad,Singapore,Air,Furniture,2830,15.28,6434,AIR_CARGO,89.99,Peak,Carrier_D,8,501190
SHP00175,Cochin,New York,Sea,Textiles,24242,52.02,4454,40FT_HC,80.89,Peak,Carrier_B,12,240145
SHP00176,Ahmedabad,Hamburg,Road,Textiles,8888,25.34,8036,40FT_HC,97.9,Off_Peak,Carrier_D,19,181607
SHP00177,Bengaluru,London,Air,Food Products,1679,8,10546,AIR_CARGO,97.84,Off_Peak,Carrier_A,12,511653
SHP00178,Ahmedabad,Antwerp,Road,Chemicals,8013,27.11,11160,20FT,112.27,Peak,Carrier_A,26,301037
SHP00179,Delhi,Hamburg,Air,Furniture,2144,10.52,10709,AIR_CARGO,107.24,Off_Peak,Carrier_B,12,571654
SHP00180,Visakhapatnam,Rotterdam,Air,Solar Panels,4738,23.45,3703,AIR_CARGO,78.18,Peak,Carrier_A,5,522556
SHP00181,Pune,Jebel Ali,Road,General Cargo,11070,29.67,7204,40FT_HC,94.51,Off_Peak,Carrier_A,18,187944
SHP00182,Chennai,Colombo,Road,Food Products,1912,11.37,929,LCL,112.28,Peak,Carrier_D,5,24891
SHP00183,Mumbai,Shanghai,Sea,Machinery,7740,22.61,6492,40FT_HC,79.31,Peak,Carrier_E,16,131784
SHP00184,Hyderabad,Colombo,Road,Food Products,10059,31.65,9672,40FT_HC,106.19,Peak,Carrier_C,23,323336
SHP00185,Pune,Jebel Ali,Sea,Chemicals,22336,42.9,6026,40FT_HC,89.35,Peak,Carrier_C,16,302337
SHP00186,Ahmedabad,Dubai,Sea,Solar Panels,18348,35.06,1698,40FT,78.72,Off_Peak,Carrier_B,7,120933
SHP00187,Mumbai,Shanghai,Road,General Cargo,3447,14.24,6470,40FT_HC,103.3,Peak,Carrier_D,16,182610
SHP00188,Ahmedabad,London,Air,Food Products,2763,12.91,12043,AIR_CARGO,112.94,Peak,Carrier_E,13,886556
SHP00189,Bengaluru,London,Sea,Chemicals,13012,28.95,10970,40FT_HC,101.38,Normal,Carrier_D,24,257908
SHP00190,Pune,Rotterdam,Air,Electronics,3956,19.65,6203,AIR_CARGO,87.97,Off_Peak,Carrier_A,8,472608
SHP00191,Ahmedabad,Dubai,Sea,Electronics,17670,33.81,1711,40FT,103.07,Peak,Carrier_B,8,169602
SHP00192,Visakhapatnam,Rotterdam,Road,Furniture,14078,37.53,4016,20FT,79.21,Off_Peak,Carrier_B,12,96883
SHP00193,Delhi,Rotterdam,Air,Food Products,2216,11,6878,AIR_CARGO,81.19,Normal,Carrier_A,9,380701
SHP00194,Kolkata,Singapore,Road,Food Products,4986,12.51,2604,40FT,98.37,Off_Peak,Carrier_D,9,67692
SHP00195,Mumbai,Jebel Ali,Sea,Chemicals,7417,16.13,2006,40FT_HC,77.69,Peak,Carrier_E,8,94884
SHP00196,Visakhapatnam,Rotterdam,Air,General Cargo,4578,23.17,7136,AIR_CARGO,94.49,Off_Peak,Carrier_B,8,473484
SHP00197,Cochin,Los Angeles,Sea,Automotive Parts,24736,51.77,10433,40FT,110.25,Normal,Carrier_D,25,290057
SHP00198,Visakhapatnam,Colombo,Sea,Textiles,7843,23.35,3743,LCL,79.11,Normal,Carrier_C,11,48131
SHP00199,Pune,Colombo,Sea,Textiles,22346,50.56,11503,40FT_HC,111.53,Normal,Carrier_D,27,292808
SHP00200,Delhi,London,Road,Electronics,6908,21.25,6621,40FT_HC,110.87,Peak,Carrier_E,17,251895
SHP00201,Cochin,Colombo,Road,Pharmaceuticals,12058,36.5,9865,20FT,107.53,Off_Peak,Carrier_D,23,224846
SHP00202,Hyderabad,Singapore,Road,Food Products,9999,25.51,3985,40FT,112.67,Normal,Carrier_A,12,148280
SHP00203,Mumbai,Dubai,Sea,Solar Panels,7542,15.32,1899,40FT,81.21,Normal,Carrier_D,9,69184
SHP00204,Cochin,Los Angeles,Air,Solar Panels,4472,20.44,7474,AIR_CARGO,96,Peak,Carrier_E,9,720456
SHP00205,Pune,Hamburg,Air,General Cargo,3902,18.67,10452,AIR_CARGO,86.72,Normal,Carrier_B,11,626355
SHP00206,Bengaluru,Colombo,Road,Furniture,5856,21.15,5611,40FT_HC,86.18,Normal,Carrier_D,15,139212
SHP00207,Chennai,Dubai,Air,Electronics,463,2.49,3582,AIR_CARGO,102.53,Normal,Carrier_A,5,237911
SHP00208,Visakhapatnam,Rotterdam,Air,General Cargo,4569,22.95,3414,AIR_CARGO,76.57,Normal,Carrier_B,6,352755
SHP00209,Pune,New York,Air,Food Products,3925,17.61,12924,AIR_CARGO,81.27,Off_Peak,Carrier_C,14,604868
SHP00210,Mumbai,London,Road,Furniture,3358,12.18,9510,LCL,85.22,Off_Peak,Carrier_A,22,81937
SHP00211,Hyderabad,Colombo,Road,Electronics,10428,32.13,12489,LCL,114.75,Off_Peak,Carrier_E,29,170290
SHP00212,Visakhapatnam,Singapore,Road,Textiles,14204,36.01,4297,40FT,80.84,Peak,Carrier_C,12,187091
SHP00213,Hyderabad,Singapore,Air,Electronics,3160,17.15,3642,AIR_CARGO,104.64,Peak,Carrier_A,6,487641
SHP00214,Ahmedabad,New York,Sea,Chemicals,11408,28.13,10583,20FT,106.56,Peak,Carrier_A,23,216511
SHP00215,Bengaluru,Colombo,Road,Textiles,6287,21.96,7545,40FT_HC,95.06,Peak,Carrier_C,19,216967
